"","ID","i","index","Group"
"395","WT5",2200,80.7231728876881,"WT"
"396","WT6",2200,109.611377842196,"WT"
"397","KO1",2300,82.988202811245,"KO"
"398","KO2",2300,115.010000869641,"KO"
"399","KO3",2300,73.1693822789012,"KO"
"400","KO4",2300,82.738988988989,"KO"
"401","KO5",2300,66.586108803464,"KO"
"402","KO6",2300,116.350679628734,"KO"
"403","OE1",2300,168.52500796432,"OE"
"404","OE2",2300,99.751093679288,"OE"
"405","OE3",2300,79.3603168411894,"OE"
"406","OE4",2300,115.983336987503,"OE"
"407","OE5",2300,147.091535980425,"OE"
"408","OE6",2300,181.102362204724,"OE"
"409","WT1",2300,91.6239434668145,"WT"
"410","WT2",2300,72.5174096616768,"WT"
"411","WT3",2300,143.119961041069,"WT"
"412","WT4",2300,102.162997296253,"WT"
"413","WT5",2300,80.3462940461725,"WT"
"414","WT6",2300,118.764312334426,"WT"
"415","KO1",2400,97.8892627714898,"KO"
"416","KO2",2400,108.4582360473,"KO"
"417","KO3",2400,85.8804234381989,"KO"
"418","KO4",2400,86.1141011840689,"KO"
"419","KO5",2400,65.3164901458281,"KO"
"420","KO6",2400,107.583115427718,"KO"
"421","OE1",2400,170.011806375443,"OE"
"422","OE2",2400,99.4269143133329,"OE"
"423","OE3",2400,88.6126580720593,"OE"
"424","OE4",2400,120.688932657252,"OE"
"425","OE5",2400,124.97287914949,"OE"
"426","OE6",2400,171.950564212789,"OE"
"427","WT1",2400,88.6863336823305,"WT"
"428","WT2",2400,73.3085577559436,"WT"
"429","WT3",2400,130.016703534829,"WT"
"430","WT4",2400,97.0513900589722,"WT"
"431","WT5",2400,91.3966551363016,"WT"
"432","WT6",2400,110.845970287122,"WT"
"433","KO1",2500,96.5519372180683,"KO"
"434","KO2",2500,108.995151895644,"KO"
"435","KO3",2500,83.9309214943733,"KO"
"436","KO4",2500,88.672606549004,"KO"
"437","KO5",2500,65.3027960045137,"KO"
"438","KO6",2500,113.76874908985,"KO"
"439","OE1",2500,179.093357785546,"OE"
"440","OE2",2500,95.9354086080923,"OE"
"441","OE3",2500,95.5044161242016,"OE"
"442","OE4",2500,122.246997613739,"OE"
"443","OE5",2500,131.684294804264,"OE"
"444","OE6",2500,181.253987587727,"OE"
"445","WT1",2500,89.3520901240922,"WT"
"446","WT2",2500,61.8260955584133,"WT"
"447","WT3",2500,114.155251141553,"WT"
"448","WT4",2500,105.158663391325,"WT"
"449","WT5",2500,83.531581620379,"WT"
"450","WT6",2500,123.889946083095,"WT"
"451","KO1",2600,89.2173683515903,"KO"
"452","KO2",2600,100.050321167451,"KO"
"453","KO3",2600,76.6179304091579,"KO"
"454","KO4",2600,90.8382380606842,"KO"
"455","KO5",2600,60.3129851358827,"KO"
"456","KO6",2600,115.366236603181,"KO"
"457","OE1",2600,177.204571668239,"OE"
"458","OE2",2600,103.923256671996,"OE"
"459","OE3",2600,94.8266187857704,"OE"
"460","OE4",2600,107.339070786624,"OE"
"461","OE5",2600,127.139364303178,"OE"
"462","OE6",2600,173.609327649083,"OE"
"463","WT1",2600,85.8914413498678,"WT"
"464","WT2",2600,72.1590059990179,"WT"
"465","WT3",2600,127.571239856577,"WT"
"466","WT4",2600,100.240220647113,"WT"
"467","WT5",2600,87.3407581591256,"WT"
"468","WT6",2600,119.257638839884,"WT"
"469","KO1",2700,101.864013637761,"KO"
"470","KO2",2700,110.790273556231,"KO"
"471","KO3",2700,81.2944666235475,"KO"
"472","KO4",2700,85.042346188843,"KO"
"473","KO5",2700,66.0086925027164,"KO"
"474","KO6",2700,117.839130997026,"KO"
"475","OE1",2700,182.807563067355,"OE"
"476","OE2",2700,113.325457032707,"OE"
"477","OE3",2700,92.8094922849722,"OE"
"478","OE4",2700,116.319887669135,"OE"
"479","OE5",2700,138.91006097561,"OE"
"480","OE6",2700,184.893983970782,"OE"
"481","WT1",2700,86.680459442106,"WT"
"482","WT2",2700,68.8580334372343,"WT"
"483","WT3",2700,141.768114814671,"WT"
"484","WT4",2700,103.604115741004,"WT"
"485","WT5",2700,82.8653920476504,"WT"
"486","WT6",2700,111.365719523373,"WT"
"487","KO1",2800,104.779215225061,"KO"
"488","KO2",2800,113.844277292133,"KO"
"489","KO3",2800,83.2307104335641,"KO"
"490","KO4",2800,91.0928822066786,"KO"
"491","KO5",2800,63.3504638158958,"KO"
"492","KO6",2800,121.335933389049,"KO"
"493","OE1",2800,194.821330947766,"OE"
"494","OE2",2800,100.020412329047,"OE"
"495","OE3",2800,87.049209451057,"OE"
"496","OE4",2800,124.515596213709,"OE"
"497","OE5",2800,150.295222758991,"OE"
"498","OE6",2800,191.378216081629,"OE"
"499","WT1",2800,91.9820728817139,"WT"
"500","WT2",2800,66.7609039971388,"WT"
"501","WT3",2800,127.28925834524,"WT"
"502","WT4",2800,105.580693815988,"WT"
"503","WT5",2800,82.3685150553676,"WT"
"504","WT6",2800,101.362707832338,"WT"
"505","KO1",2900,98.7158720097659,"KO"
"506","KO2",2900,118.570945183848,"KO"
"507","KO3",2900,83.8400957033197,"KO"
"508","KO4",2900,88.3477603159929,"KO"
"509","KO5",2900,65.9535423561334,"KO"
"510","KO6",2900,112.067587015618,"KO"
"511","OE1",2900,175.669465680745,"OE"
"512","OE2",2900,96.7734511645034,"OE"
"513","OE3",2900,90.06789898687,"OE"
"514","OE4",2900,111.146353712368,"OE"
"515","OE5",2900,138.563943717666,"OE"
"516","OE6",2900,185.283102004847,"OE"
"517","WT1",2900,88.3960479293672,"WT"
"518","WT2",2900,69.2808303814153,"WT"
"519","WT3",2900,133.947058261396,"WT"
"520","WT4",2900,123.960851364896,"WT"
"521","WT5",2900,88.8931168611534,"WT"
"522","WT6",2900,116.624140226315,"WT"
"523","KO1",3000,94.8706596673202,"KO"
"524","KO2",3000,111.468912558831,"KO"
"525","KO3",3000,82.1182868300516,"KO"
"526","KO4",3000,92.0866842654552,"KO"
"527","KO5",3000,67.9676172063799,"KO"
"528","KO6",3000,111.654219288887,"KO"
"529","OE1",3000,165.17398326237,"OE"
"530","OE2",3000,100.131283238023,"OE"
"531","OE3",3000,91.0433568697271,"OE"
"532","OE4",3000,128.464986154329,"OE"
"533","OE5",3000,133.840937481411,"OE"
"534","OE6",3000,182.563187147552,"OE"
"535","WT1",3000,78.4040421639516,"WT"
"536","WT2",3000,66.4177232004487,"WT"
"537","WT3",3000,144.834245252655,"WT"
"538","WT4",3000,102.240196301177,"WT"
"539","WT5",3000,94.2033536393896,"WT"
"540","WT6",3000,112.759346496943,"WT"
"541","KO1",3100,93.8898333235633,"KO"
"542","KO2",3100,108.843383318987,"KO"
"543","KO3",3100,81.4959294436906,"KO"
"544","KO4",3100,91.114229368932,"KO"
"545","KO5",3100,59.4862271742495,"KO"
"546","KO6",3100,126.811116096171,"KO"
"547","OE1",3100,175.045537340619,"OE"
"548","OE2",3100,112.151059658295,"OE"
"549","OE3",3100,95.7533727904984,"OE"
"550","OE4",3100,130.556461254211,"OE"
"551","OE5",3100,135.013627806345,"OE"
"552","OE6",3100,187.563431961902,"OE"
"553","WT1",3100,85.5027848461662,"WT"
"554","WT2",3100,67.6903571177009,"WT"
"555","WT3",3100,121.713359339379,"WT"
"556","WT4",3100,107.292783136835,"WT"
"557","WT5",3100,77.5200051626226,"WT"
"558","WT6",3100,120.652856246077,"WT"
"559","KO1",3200,98.0955665402153,"KO"
"560","KO2",3200,103.578725900751,"KO"
"561","KO3",3200,92.1526277897768,"KO"
"562","KO4",3200,85.4173270382543,"KO"
"563","KO5",3200,65.0886069512598,"KO"
"564","KO6",3200,110.138318239508,"KO"
"565","OE1",3200,174.953015547582,"OE"
"566","OE2",3200,108.199492814877,"OE"
"567","OE3",3200,87.8336649969121,"OE"
"568","OE4",3200,108.309358605517,"OE"
"569","OE5",3200,145.104151905909,"OE"
"570","OE6",3200,181.83755371666,"OE"
"571","WT1",3200,82.9754476946763,"WT"
"572","WT2",3200,75.4805991272556,"WT"
"573","WT3",3200,118.600880240908,"WT"
"574","WT4",3200,100.688298918387,"WT"
"575","WT5",3200,78.390544140613,"WT"
"576","WT6",3200,120.513122278451,"WT"
"577","KO1",3300,103.234491126953,"KO"
"578","KO2",3300,116.765311374164,"KO"
"579","KO3",3300,82.7256153144941,"KO"
"580","KO4",3300,86.1209964412812,"KO"
"581","KO5",3300,63.6038687973087,"KO"
"582","KO6",3300,115.952213633169,"KO"
