#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_1277	11	16	24	18	26	76	4	8	0	7	15	8	19	17	8	9	8	8
OTU_1278	3	0	0	2	3	7	2	3	2	7	11	0	1	0	3	2	2	5
OTU_1279	1	0	3	3	1	1	3	1	1	0	14	1	3	1	5	1	5	0
OTU_128	39	38	35	29	16	38	60	35	41	36	42	53	38	51	59	41	41	53
OTU_1280	5	4	2	5	6	3	1	1	0	2	3	4	0	4	4	4	3	2
OTU_1281	2	3	1	3	5	2	2	6	2	3	1	4	0	0	3	9	3	6
OTU_1282	2	4	3	0	2	0	3	1	2	2	2	4	0	7	5	3	5	5
OTU_1283	1	10	0	6	3	2	1	6	1	5	2	2	5	0	0	3	0	3
OTU_1284	2	8	4	5	5	3	3	4	9	7	4	7	4	2	6	2	4	5
OTU_1285	0	1	2	8	4	10	8	3	0	4	14	3	2	8	18	4	14	11
OTU_1286	1	1	5	0	9	2	4	4	1	3	13	1	1	2	3	1	8	9
OTU_1287	1	2	3	1	2	1	1	1	13	2	3	1	7	1	2	12	5	3
OTU_1288	0	4	0	3	0	2	4	0	3	6	2	3	1	0	5	5	1	2
OTU_1289	1	1	0	2	0	1	5	7	9	5	0	0	4	2	3	2	6	7
OTU_129	21	27	102	60	63	48	27	44	27	33	56	31	23	37	37	36	76	75
OTU_1290	0	3	8	2	1	3	1	0	6	1	5	6	3	2	2	2	7	1
OTU_1291	0	1	7	0	13	2	0	21	10	5	7	1	2	2	0	2	0	5
OTU_1292	0	0	0	2	0	0	1	2	23	2	1	4	12	0	0	4	1	0
OTU_1293	10	7	6	4	2	23	13	3	6	4	5	7	3	2	5	3	5	6
OTU_1294	4	5	1	4	0	5	7	9	1	3	5	6	1	2	4	5	2	11
OTU_1296	4	2	0	1	0	0	3	8	6	2	1	3	1	3	0	5	10	1
OTU_1297	4	6	4	14	4	2	0	5	0	1	5	6	6	1	9	6	1	2
OTU_1298	2	3	1	1	5	1	4	4	2	1	6	3	0	2	2	4	3	2
OTU_1299	3	5	1	2	2	3	2	4	4	6	2	2	1	1	6	3	3	5
OTU_13	169	181	379	361	535	385	172	513	478	297	495	188	382	288	422	281	578	517
OTU_130	27	73	15	55	8	123	24	7	21	47	18	21	10	21	92	19	15	126
OTU_1300	2	3	3	3	1	5	2	2	2	2	1	2	3	4	3	2	4	4
OTU_1301	21	27	26	25	6	5	12	10	18	11	16	11	12	7	74	6	15	18
OTU_1302	3	10	2	8	0	0	3	7	3	2	4	1	3	5	2	6	4	6
OTU_1304	3	1	3	0	0	0	3	9	2	4	7	5	0	1	6	25	0	4
OTU_1305	3	10	3	0	1	1	5	2	3	1	1	4	0	3	3	7	0	3
OTU_1306	1	1	4	2	3	3	5	0	0	1	0	0	0	10	0	1	24	5
OTU_1308	7	5	0	0	0	0	10	0	0	3	3	18	1	0	0	0	0	1
OTU_1309	6	3	2	1	1	2	7	2	1	7	7	3	5	0	4	2	1	8
OTU_131	0	31	1	2	1	11	78	184	43	4	158	108	3	13	3	108	51	67
OTU_1310	8	0	7	7	6	5	2	2	2	3	3	1	3	7	2	4	3	7
OTU_1311	0	5	1	2	8	2	1	9	0	2	2	2	1	0	4	0	5	7
OTU_1312	0	2	0	0	2	6	0	1	3	0	2	3	5	0	0	3	25	4
OTU_1315	3	0	1	0	5	11	0	1	5	5	5	0	8	1	0	0	12	2
OTU_1316	0	0	0	2	4	6	1	0	5	3	1	2	5	4	4	2	3	2
OTU_1318	5	8	5	6	2	8	8	10	2	3	4	11	7	5	11	2	6	3
OTU_1319	5	4	1	0	2	4	3	1	2	0	3	3	2	3	3	7	0	4
OTU_132	6	23	223	69	24	53	53	24	39	21	15	3	27	44	35	14	23	41
