OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1241	3.747	7.136	0.00130444191870343	0.0581692659001477	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.016	0.001	0.009	0.017	0	0	0.026	0.044	0	0.005	0	0	0	0
ASV_1399	-2.024	7.163	0.00137864959914288	0.0604537849224152	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.015	0	0.006	0.003	0.003	0.005	0.003	0.008	0.021	0.014	0.008	0.011	0.027
ASV_920	1.681	7.68	0.00149220079343331	0.064360332582345	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.022	0.007	0.027	0.017	0.01	0.027	0.028	0.025	0.008	0.008	0.003	0.008	0.005	0.011
ASV_862	-2.157	7.78	0.0015598322161661	0.0647889133534157	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Gp17	Unassigned	0.006	0.028	0.003	0.02	0.005	0.005	0	0.003	0.022	0.034	0.05	0.044	0.008	0.011
ASV_952	-1.896	7.591	0.00162981766403018	0.0647889133534157	Depleted	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus_terrae	0.005	0.023	0	0.003	0.008	0.005	0.003	0.014	0.022	0.026	0.039	0.022	0.014	0.014
ASV_1348	-5.008	7.529	0.00163157310322645	0.0647889133534157	Depleted	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Unassigned	0.001	0.027	0.003	0	0	0	0	0	0	0	0	0.14	0.003	0.016
ASV_2365	-4.362	6.445	0.00165474287265177	0.0647889133534157	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Cellvibrio	Unassigned	0	0.006	0	0	0	0	0	0	0.003	0.024	0	0.008	0.003	0
ASV_2477	-2.905	6.416	0.00165657037151978	0.0647889133534157	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	Unassigned	0.001	0.006	0.003	0	0	0	0	0	0.005	0.003	0.008	0.006	0.011	0.003
ASV_1039	-6.209	7.503	0.00168057481147062	0.0647889133534157	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Umezawaea	Umezawaea_tangerina	0	0.029	0	0	0	0	0	0	0	0	0.172	0	0	0
ASV_842	3.664	7.562	0.00168151434802609	0.0647889133534157	Enriched	Bacteria	Chloroflexi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.027	0.002	0.006	0.126	0	0.003	0.021	0.008	0.003	0	0	0	0	0.008
ASV_717	-2.241	7.595	0.00169913911873268	0.0647889133534157	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	Unassigned	0.005	0.024	0.015	0.003	0.003	0.003	0	0.005	0.014	0.013	0.036	0.061	0.011	0.011
ASV_1373	6.038	7.326	0.00175719489704095	0.0656439885348202	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Brevibacillus	Unassigned	0.019	0	0	0	0.112	0	0	0	0	0	0	0	0	0
ASV_2167	-2.625	6.601	0.00177146453286668	0.0656439885348202	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Ohtaekwangia_koreensis	0.001	0.008	0	0	0	0.003	0	0.003	0.011	0.013	0.006	0.008	0.003	0.005
ASV_115	2.219	9.873	0.00185958174573871	0.0679522162922021	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.151	0.033	0.107	0.288	0.034	0.265	0.021	0.189	0.003	0.055	0.061	0.006	0.011	0.06
ASV_2471	-2.999	6.456	0.00192175122855641	0.0692620203059166	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	Unassigned	0	0.006	0	0	0.003	0	0	0	0	0.011	0.006	0.006	0.005	0.011
ASV_1168	-6.027	7.355	0.00204219182211098	0.0715332868571856	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Unassigned	Unassigned	Unassigned	0	0.022	0	0	0	0	0	0	0	0	0	0.135	0	0
ASV_1215	-2.509	7.287	0.00207071770332207	0.0715332868571856	Depleted	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Unassigned	Unassigned	0.003	0.018	0.006	0	0.003	0	0	0.008	0.046	0.024	0.008	0.014	0.008	0.005
ASV_336	1.373	9.109	0.00208486818125984	0.0715332868571856	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Unassigned	0.067	0.029	0.04	0.056	0.117	0.048	0.078	0.063	0.022	0.024	0.028	0.033	0.032	0.033
ASV_1511	-1.966	7	0.002093524548842	0.0715332868571856	Depleted	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.012	0.003	0.003	0	0.005	0	0.005	0.014	0.008	0.008	0.011	0.022	0.011
ASV_2829	3.561	6.626	0.00212842964134569	0.0717935690561602	Enriched	Bacteria	Acidobacteria	Acidobacteria_Gp10	Unassigned	Unassigned	Gp10	Unassigned	0.008	0	0.003	0.008	0.029	0.005	0.003	0	0	0	0	0	0	0.003
